Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: ((((a pot) of) soup) (is ((being prepared) (((on the) stove) .))))	Gold Tree: (((a pot) (of soup)) ((is (being (prepared (on (the stove))))) .))
Pred Tree: (((many fans) are) ((((in a) stadium) watching) ((a (baseball game)) .)))	Gold Tree: ((many fans) ((are ((in (a stadium)) (watching (a (baseball game))))) .))
Pred Tree: ((((a pan) (((filled with) food) ((sitting on) a))) stove) (top .))	Gold Tree: ((a pan) ((filled ((with food) (sitting (on (a (stove top)))))) .))
Pred Tree: ((((a dying) and) (wilting plant)) ((((in a) vase) with) (a photo)))	Gold Tree: ((a ((dying (and wilting)) plant)) ((in (a vase)) (with (a photo))))
Pred Tree: (((a colorful) train) (((((((going down) a) track) next) to) some) hills))	Gold Tree: ((a (colorful train)) (going (down ((a track) (next (to (some hills)))))))
Pred Tree: (((a park) with) ((benches ,) (((a lamppost) ,) ((and trees) .))))	Gold Tree: ((a park) ((with (benches (, ((a lamppost) (, (and trees)))))) .))
Pred Tree: ((a boy) ((((in a) baseball) uniform) ((((is holding) a) bat) .)))	Gold Tree: (((a boy) (in (a (baseball uniform)))) ((is (holding (a bat))) .))
Pred Tree: (((a person) ((((holds up) their) champagne) ((glass for) a))) (toast .))	Gold Tree: ((a person) ((holds (up ((their (champagne glass)) (for (a toast))))) .))
Pred Tree: ((a table) ((((((((sitting in) a) kitchen) surrounded) by) white) chairs) .))	Gold Tree: ((a table) ((sitting (in ((a kitchen) (surrounded (by (white chairs)))))) .))
Pred Tree: (((((a beautiful) girl) ((holding a) giant)) banana) (((in her) hands) .))	Gold Tree: ((a (beautiful girl)) ((holding ((a (giant banana)) (in (her hands)))) .))
Pred Tree: (((a lady) is) ((((in her) ski) gear) (((in the) snow) .)))	Gold Tree: ((a lady) ((is ((in (her (ski gear))) (in (the snow)))) .))
Pred Tree: ((((((two different) kinds) of) ducks) (swimming together)) (((on a) lake) .))	Gold Tree: (((two (different kinds)) (of ducks)) ((swimming (together (on (a lake)))) .))
Pred Tree: ((a man) ((((on a) surf) board) (surfing (((on the) sea) .))))	Gold Tree: (((a man) (on (a (surf board)))) ((surfing (on (the sea))) .))
Pred Tree: (((a kitchen) with) (((a stove) ,) ((oven ,) ((and refrigerator) .))))	Gold Tree: ((a kitchen) ((with (a (stove (, (oven (, (and refrigerator))))))) .))
Pred Tree: (((((a table) and) chairs) with) ((wooden kitchen) (((tools on) top) .)))	Gold Tree: (((a table) (and chairs)) ((with ((wooden (kitchen tools)) (on top))) .))
Pred Tree: (((a (stop sign)) (that is)) (((((in the) middle) of) nowhere) .))	Gold Tree: ((a (stop sign)) ((that (is (in ((the middle) (of nowhere))))) .))
Pred Tree: ((((((three different) pots) (sit near)) one) another) (((on a) table) .))	Gold Tree: ((three (different pots)) ((sit ((near (one another)) (on (a table)))) .))
Pred Tree: ((there is) ((a street) (((at night) with) (((cars passing) by) .))))	Gold Tree: (there ((is ((a street) ((at night) (with (cars (passing by)))))) .))
Pred Tree: ((((a hamburger) and) (((a cup) of) soup)) (((on a) table) .))	Gold Tree: (((a hamburger) (and ((a cup) (of soup)))) ((on (a table)) .))
Pred Tree: ((a women) ((((smiling really) big) while) ((((holding a) wii) remote) .)))	Gold Tree: ((a women) ((smiling ((really big) (while (holding (a (wii remote)))))) .))
Pred Tree: (((a glass) (((((((sitting on) a) table) next) to) an) oven)) .)	Gold Tree: ((a glass) ((sitting (on ((a table) (next (to (an oven)))))) .))
Pred Tree: ((((a small) plate) ((with some) vegeatables)) (((being held) by) (a person)))	Gold Tree: (((a (small plate)) (with (some vegeatables))) (being (held (by (a person)))))
Pred Tree: ((kitchen cooking) ((((((utensils in) glass) container) next) to) ((modern oven) .)))	Gold Tree: ((kitchen cooking) ((utensils ((in (glass container)) (next (to (modern oven))))) .))
Pred Tree: ((((a living) room) with) (((a couch) and) (((a bottle) of) wine)))	Gold Tree: ((a (living room)) (with ((a couch) (and ((a bottle) (of wine))))))
Pred Tree: (((a white) couch) ((((a brown) table) with) (((a bottle) and) glass)))	Gold Tree: ((a (white couch)) ((a (brown table)) (with (a (bottle (and glass))))))
Pred Tree: (((a computer) mouse) ((((is sitting) next) to) ((a (key board)) .)))	Gold Tree: ((a (computer mouse)) ((is (sitting (next (to (a (key board)))))) .))
Pred Tree: (((((a square) plate) with) (((all kinds) of) vegetables)) ((on the) plate))	Gold Tree: ((a (square plate)) (with (((all kinds) (of vegetables)) (on (the plate)))))
Pred Tree: ((a woman) ((((in a) yellow) raincoat) ((((<unk> her) cell) phone) .)))	Gold Tree: (((a woman) (in (a (yellow raincoat)))) ((<unk> (her (cell phone))) .))
Pred Tree: (((((a bunch) of) motorcycles) (parked ((((on the) side) of) the))) road)	Gold Tree: (((a bunch) (of motorcycles)) (parked (on ((the side) (of (the road))))))
Pred Tree: (((some broccoli) noodles) (((((in a) bowl) and) fries) ((on a) plate)))	Gold Tree: ((some (broccoli noodles)) ((in (a bowl)) (and (fries (on (a plate))))))
Pred Tree: (((a (teddy bear)) (((((is positioned) to) read) a) text)) (book .))	Gold Tree: ((a (teddy bear)) ((is (positioned (to (read (a (text book)))))) .))
Pred Tree: ((a man) ((((holding an) infant) while) ((((checking his) cell) phone) .)))	Gold Tree: ((a man) ((holding ((an infant) (while (checking (his (cell phone)))))) .))
Pred Tree: ((((a boy) (((reaching for) a) baseball)) bat) (((in a) dugout) .))	Gold Tree: ((a boy) ((reaching ((for (a (baseball bat))) (in (a dugout)))) .))
Pred Tree: ((((a person) ((hitting a) tennis)) ball) ((((with a) tennis) racket) .))	Gold Tree: ((a person) ((hitting ((a (tennis ball)) (with (a (tennis racket))))) .))
Pred Tree: ((((an image) of) ((((a bed) with) a) quote)) ((at the) top))	Gold Tree: ((an image) (of ((a bed) (with ((a quote) (at (the top)))))))
Pred Tree: (((((a couple) of) young) boys) (((with skateboards) pass) ((a city) bus)))	Gold Tree: (((a couple) (of ((young boys) (with skateboards)))) (pass (a (city bus))))
Pred Tree: ((((a man) (((holding up) a) baseball)) bat) (((during a) baseball) game))	Gold Tree: ((a man) (holding (up ((a (baseball bat)) (during (a (baseball game)))))))
Pred Tree: ((((a boy) ((hitting a) tennis)) ball) ((((on the) tennis) court) .))	Gold Tree: ((a boy) ((hitting ((a (tennis ball)) (on (the (tennis court))))) .))
Pred Tree: ((a pizza) ((((((is cooking) in) a) wood) -) ((burning oven) .)))	Gold Tree: ((a pizza) ((is (cooking (in (a (wood (- (burning oven))))))) .))
Pred Tree: ((a man) ((((on a) tennis) court) ((((that has) a) racquet) .)))	Gold Tree: ((a man) ((on (a (tennis court))) ((that (has (a racquet))) .)))
Pred Tree: ((two (coffee mugs)) ((sit with) (((((flower vase) in) the) middle) .)))	Gold Tree: ((two (coffee mugs)) ((sit (with ((flower vase) (in (the middle))))) .))
Pred Tree: (((a single) rose) (((in vase) ,) ((((sits between) twin) stylized) mugs)))	Gold Tree: (((a (single rose)) (in vase)) (, (sits (between (twin (stylized mugs))))))
Pred Tree: (((a red) rose) ((((is sitting) next) to) (((a couple) of) mugs)))	Gold Tree: ((a (red rose)) (is (sitting (next (to ((a couple) (of mugs)))))))
Pred Tree: ((a street) ((scene with) ((((((a large) truck) turning) a) corner) .)))	Gold Tree: ((a (street scene)) ((with ((a (large truck)) (turning (a corner)))) .))
Pred Tree: (((a laptop) computer) (((((((sitting on) top) of) a) white) desk) .))	Gold Tree: ((a (laptop computer)) ((sitting (on (top (of (a (white desk)))))) .))
Pred Tree: ((man on) ((snow skis) ((((((in a) heavy) snow) with) high) drifts)))	Gold Tree: (man (on ((snow skis) (in ((a (heavy snow)) (with (high drifts)))))))
Pred Tree: ((a (baseball player)) ((((grabbing a) bat) ,) (((in a) game) .)))	Gold Tree: ((a (baseball player)) ((grabbing ((a bat) (, (in (a game))))) .))
Pred Tree: ((((a person) ((on a) ski)) mountain) ((((posing for) the) camera) .))	Gold Tree: (((a person) (on (a (ski mountain)))) ((posing (for (the camera))) .))
Pred Tree: (woman (((eating something) while) ((((((sitting on) a) stone) tablet) outside) .)))	Gold Tree: (woman ((eating (something (while (sitting ((on (a (stone tablet))) outside))))) .))
Pred Tree: ((((a man) (who is)) ((riding a) skateboard)) (((down the) street) .))	Gold Tree: ((a man) ((who (is (riding ((a skateboard) (down (the street)))))) .))
Pred Tree: ((a no) ((skate boarders) ((((((sign on) the) side) of) the) road)))	Gold Tree: ((a (no (skate (boarders sign)))) (on ((the side) (of (the road)))))
Pred Tree: (((a woman) (((((((is holding) a) tennis) racket) and) a) towel)) .)	Gold Tree: ((a woman) ((is (holding ((a (tennis racket)) (and (a towel))))) .))
Pred Tree: ((((several sandwich) 's) (sliced and)) ((neatly arranged) (((on a) plate) .)))	Gold Tree: ((several (sandwich 's)) ((sliced (and (neatly (arranged (on (a plate)))))) .))
Pred Tree: ((a plate) ((topped with) ((((small sandwiches) with) ((meat and) veggies)) .)))	Gold Tree: ((a plate) ((topped (with ((small sandwiches) (with (meat (and veggies)))))) .))
Pred Tree: (((a close) ((up of) (((a white) keyboard) with))) (a (black monitor)))	Gold Tree: ((a (close up)) (of ((a (white keyboard)) (with (a (black monitor))))))
Pred Tree: ((a man) ((in sunglasses) ((((((wears a) grass) tie) and) hat) .)))	Gold Tree: (((a man) (in sunglasses)) ((wears (a (grass (tie (and hat))))) .))
Pred Tree: ((((a woman) (((standing in) a) kitchen)) (with hard)) ((wood floors) .))	Gold Tree: ((a woman) ((standing (in ((a kitchen) (with (hard (wood floors)))))) .))
Pred Tree: (((a small) airplane) (flies (((in the) sky) (((during the) daytime) .))))	Gold Tree: ((a (small airplane)) ((flies ((in (the sky)) (during (the daytime)))) .))
Pred Tree: ((the red) (apples (near ((((the oranges) have) writing) ((on them) .)))))	Gold Tree: (((the (red apples)) (near (the oranges))) ((have (writing (on them))) .))
Pred Tree: (((a motorcycle) with) ((((more than) the) usual) (((number of) headlights) .)))	Gold Tree: ((a motorcycle) ((with (more (than ((the (usual number)) (of headlights))))) .))
Pred Tree: ((((((old style) motorcycle) with) many) lights) ((((parked on) the) street) .))	Gold Tree: (((old style) motorcycle) (((with (many lights)) (parked (on (the street)))) .))
Pred Tree: (((a flashy) motorcycle) (((((((parked on) the) side) of) the) street) .))	Gold Tree: ((a (flashy motorcycle)) ((parked (on ((the side) (of (the street))))) .))
Pred Tree: ((((a small) plane) (((flying in) the) air)) (((with a) sky) background))	Gold Tree: ((a (small plane)) (flying ((in (the air)) (with (a (sky background))))))
Pred Tree: ((((((a silver) motorcycle) with) many) lights) ((((parked on) the) street) .))	Gold Tree: (((a (silver motorcycle)) (with (many lights))) ((parked (on (the street))) .))
Pred Tree: (((a man) (is floating)) ((((with a) parachute) high) ((in the) sky)))	Gold Tree: ((a man) (is (floating ((with (a parachute)) (high (in (the sky)))))))
Pred Tree: ((((a red) plane) (flying high)) (((((in a) clear) blue) sky) .))	Gold Tree: ((a (red plane)) ((flying (high (in (a (clear (blue sky)))))) .))
Pred Tree: (((((a train) ((exiting a) tunnel)) ((goes in) between)) two) (cliffs .))	Gold Tree: (((a train) (exiting (a tunnel))) ((goes (in (between (two cliffs)))) .))
Pred Tree: ((((a bathroom) stall) with) ((((white tiled) walls) and) ((motion <unk>) .)))	Gold Tree: ((a (bathroom stall)) ((with ((white (tiled walls)) (and (motion <unk>)))) .))
Pred Tree: ((((a close) ((up of) (a (stop sign)))) under) (a (street sign)))	Gold Tree: ((a (close up)) ((of (a (stop sign))) (under (a (street sign)))))
Pred Tree: ((((a small) baby) (((is holding) a) white)) (((and blue) toothbrush) .))	Gold Tree: ((a (small baby)) ((is (holding (a ((white (and blue)) toothbrush)))) .))
Pred Tree: (((a (stop sign)) (((in arabic) by) a)) (((body of) water) .))	Gold Tree: ((a (stop sign)) ((in arabic) ((by ((a body) (of water))) .)))
Pred Tree: ((((a (stop sign)) has) ((a language) that)) (((is not) english) .))	Gold Tree: ((a (stop sign)) ((has ((a language) (that (is (not english))))) .))
Pred Tree: (table ((filled with) ((((a bunch) of) (((different types) of) food)) .)))	Gold Tree: (table ((filled (with ((a bunch) (of ((different types) (of food)))))) .))
Pred Tree: (((((a parking) meter) and) wall) (((((that has) graffiti) on) it) .))	Gold Tree: ((a (parking (meter (and wall)))) ((that (has (graffiti (on it)))) .))
Pred Tree: ((a baby) (playing ((((with a) white) toothbrush) (((in its) mouth) .))))	Gold Tree: ((a baby) ((playing (with ((a (white toothbrush)) (in (its mouth))))) .))
Pred Tree: (people (((((walking past) buildings) and) trucks) ((((on a) cloudy) day) .)))	Gold Tree: (people ((walking ((past (buildings (and trucks))) (on (a (cloudy day))))) .))
Pred Tree: ((((a group) of) people) (((standing behind) tables) (((with laptop) computers) .)))	Gold Tree: ((a group) ((of people) ((standing (behind (tables (with (laptop computers))))) .)))
Pred Tree: ((the (((((sink next) to) the) small) toilet)) ((is very) (dirty .)))	Gold Tree: (((the sink) (next (to (the (small toilet))))) ((is (very dirty)) .))
Pred Tree: ((((a white) (teddy bear)) with) ((a cat) (((sleeping beside) it) .)))	Gold Tree: ((a (white (teddy bear))) ((with ((a cat) (sleeping (beside it)))) .))
Pred Tree: (((a rusted) (out truck)) ((((((parked next) to) some) yellow) flowers) .))	Gold Tree: ((a ((rusted out) truck)) ((parked (next (to (some (yellow flowers))))) .))
Pred Tree: ((((the baby) is) (holding (and (((looking at) his) tooth)))) (brush .))	Gold Tree: ((the baby) ((is (holding (and ((looking at) (his (tooth brush)))))) .))
Pred Tree: (((a truck) (is shown)) (((decaying among) flowers) (((without a) window) .)))	Gold Tree: ((a truck) ((is (shown (decaying (among (flowers (without (a window))))))) .))
Pred Tree: (((a panda) (inspecting something)) ((that is) ((((in front) of) it) .)))	Gold Tree: ((a panda) ((inspecting (something (that (is (in (front (of it))))))) .))
Pred Tree: ((multiple animals) (grazing (((((((in a) field) of) very) tall) grass) .)))	Gold Tree: ((multiple animals) ((grazing (in ((a field) (of ((very tall) grass))))) .))
Pred Tree: ((two giraffe) (((((standing next) to) each) other) (((in a) forest) .)))	Gold Tree: ((two giraffe) ((standing ((next (to (each other))) (in (a forest)))) .))
Pred Tree: ((((((a metal) pan) of) food) (that includes)) (((broccoli and) nuts) .))	Gold Tree: ((a (metal pan)) ((of food) ((that (includes (broccoli (and nuts)))) .)))
Pred Tree: (((a bedroom) with) ((((a bed) dresser) and) (((large screen) television) .)))	Gold Tree: ((a bedroom) ((with ((a (bed dresser)) (and (large (screen television))))) .))
Pred Tree: (((two giraffes) are) (((((((standing in) the) middle) of) some) vegetation) .))	Gold Tree: ((two giraffes) ((are (standing (in ((the middle) (of (some vegetation)))))) .))
Pred Tree: ((((a pan) that) has) ((some meat) ((((and vegetables) in) it) .)))	Gold Tree: ((a pan) ((that (has ((some (meat (and vegetables))) (in it)))) .))
Pred Tree: ((((a tray) covered) in) ((((((food on) top) of) a) table) .))	Gold Tree: ((a tray) ((covered ((in food) (on (top (of (a table)))))) .))
Pred Tree: (((a clock) (((mounted on) an) outdoor)) (((post with) (roman numerals)) .))	Gold Tree: ((a clock) ((mounted ((on (an (outdoor post))) (with (roman numerals)))) .))
Pred Tree: ((((a pole) that) has) ((a clock) ((((on top) of) it) .)))	Gold Tree: ((a pole) ((that (has ((a clock) (on (top (of it)))))) .))
Pred Tree: ((((a couple) of) people) ((((embracing each) other) while) ((holding bats) .)))	Gold Tree: (((a couple) (of people)) ((embracing ((each other) (while (holding bats)))) .))
Pred Tree: (((an man) (standing (((((in a) kitchen) with) a) small))) (puppy .))	Gold Tree: ((an man) ((standing ((in (a kitchen)) (with (a (small puppy))))) .))
Pred Tree: ((((a boy) and) girl) (((wearing helmets) and) (holding ((baseball bats) .))))	Gold Tree: ((a (boy (and girl))) (((wearing helmets) (and (holding (baseball bats)))) .))
Pred Tree: ((((a man) is) ((((((at a) kitchen) counter) by) a) dog)) .)	Gold Tree: ((a man) ((is ((at (a (kitchen counter))) (by (a dog)))) .))
Pred Tree: (((a man) ((((standing next) to) a) dog)) (((on the) ground) .))	Gold Tree: ((a man) ((standing ((next (to (a dog))) (on (the ground)))) .))
Pred Tree: (((a man) ((pitching a) baseball)) (((((on top) of) a) field) .))	Gold Tree: ((a man) ((pitching ((a baseball) (on (top (of (a field)))))) .))
Pred Tree: (((a woman) and) (((two men) ((((are displayed) on) a) small)) television))	Gold Tree: (((a woman) (and (two men))) (are (displayed (on (a (small television))))))
Pred Tree: (((two passenger) jets) (((((((are on) the) tarmac) by) the) airport) .))	Gold Tree: ((two (passenger jets)) ((are ((on (the tarmac)) (by (the airport)))) .))
Pred Tree: (((a gray) day) (((at a) park) ((((with a) stone) bench) .)))	Gold Tree: ((a (gray day)) ((at ((a park) (with (a (stone bench))))) .))
Pred Tree: (((the man) ((((is sitting) on) a) bench)) (((in his) kitchen) .))	Gold Tree: ((the man) ((is (sitting ((on (a bench)) (in (his kitchen))))) .))
